"Name","Status","StartType","DisplayName"
"AarSvc_6b56362","Stopped","Manual","Agent Activation Runtime_6b56362"
"AJRouter","Stopped","Manual","Servicio de enrutador de AllJoyn"
"ALG","Stopped","Manual","Servicio de puerta de enlace de nivel de aplicación"
"AppIDSvc","Stopped","Manual","Identidad de aplicación"
"Appinfo","Running","Manual","Información de la aplicación"
"AppMgmt","Running","Manual","Administración de aplicaciones"
"AppReadiness","Stopped","Manual","Preparación de aplicaciones"
"AppVClient","Stopped","Disabled","Microsoft App-V Client"
"AppXSvc","Running","Manual","AppX Deployment Service (AppXSVC)"
"AssignedAccessManagerSvc","Stopped","Manual","AssignedAccessManager Service"
"AudioEndpointBuilder","Running","Automatic","Compilador de extremo de audio de Windows"
"Audiosrv","Running","Automatic","Audio de Windows"
"autotimesvc","Stopped","Manual","Hora de la red de telefonía móvil"
"AxInstSV","Stopped","Manual","Instalador de ActiveX (AxInstSV)"
"BcastDVRUserService_6b56362","Stopped","Manual","Servicio de usuario de difusión y GameDVR_6b56362"
"BDESVC","Running","Manual","Servicio Cifrado de unidad BitLocker"
"BEService","Stopped","Manual","BattlEye Service"
"BFE","Running","Automatic","Motor de filtrado de base"
"BITS","Stopped","Manual","Servicio de transferencia inteligente en segundo plano (BITS)"
"BluetoothUserService_6b56362","Stopped","Manual","Servicio de soporte técnico al usuario de Bluetooth_6b56362"
"BrokerInfrastructure","Running","Automatic","Servicio de infraestructura de tareas en segundo plano"
"BTAGService","Running","Manual","Servicio de puerta de enlace de audio de Bluetooth"
"BthAvctpSvc","Running","Manual","Servicio AVCTP"
"bthserv","Running","Manual","Servicio de compatibilidad con Bluetooth"
"camsvc","Running","Manual","Servicio Administrador de funcionalidad de acceso"
"CaptureService_6b56362","Stopped","Manual","CaptureService_6b56362"
"cbdhsvc_6b56362","Running","Automatic","Servicio de usuario de Portapapeles_6b56362"
"CDPSvc","Running","Automatic","Servicio de plataforma de dispositivos conectados"
"CDPUserSvc_6b56362","Running","Automatic","Servicio de usuario de plataforma de dispositivos conectados_6b56362"
"CertPropSvc","Stopped","Manual","Propagación de certificados"
